batch_size,repetition,wall_time_seconds,average_latency_ms,records_per_second,process_cpu_time_seconds,approx_process_cpu_percent,rss_before_mb,rss_after_mb,rss_delta_mb,python_peak_memory_mb,predicted_anomalies
100,1,0.49583220000204165,4.9583220000204165,201.68113325352456,0.375,18.90760624251793,148.35546875,148.37109375,0.015625,0.047156333923339844,83
100,2,0.5517527999982121,5.517527999982121,181.24058455221981,0.34375,15.575362734956391,148.37109375,148.37109375,0.0,0.046996116638183594,83
100,3,0.6340794999996433,6.340794999996433,157.70893082027766,0.3125,12.321010220334193,148.37109375,148.37109375,0.0,0.046912193298339844,83
500,1,0.62984559999677,1.25969119999354,793.8453487689111,0.453125,17.985558683045642,148.37109375,148.4453125,0.07421875,0.1185770034790039,436
500,2,0.8868375999991258,1.7736751999982516,563.801083761551,0.34375,9.690331127151659,148.4453125,148.4453125,0.0,0.11847782135009766,436
500,3,0.5719256999982463,1.1438513999964925,874.2394335514791,0.375,16.391989379090234,148.4453125,148.4453125,0.0,0.1183938980102539,436
1000,1,0.5996126999998523,0.5996126999998523,1667.7431948993847,0.375,15.63509245218173,148.4453125,148.5703125,0.125,0.20787334442138672,868
1000,2,0.3380612000000838,0.3380612000000838,2958.044283105403,0.296875,21.954234913672913,148.5703125,148.5859375,0.015625,0.20787906646728516,868
1000,3,0.31208520000291173,0.31208520000291173,3204.2531974943704,0.3125,25.033228105424772,148.5859375,148.609375,0.0234375,0.20786380767822266,868
5000,1,0.4732036999994307,0.09464073999988613,10566.27410141978,0.4375,23.11372459685577,148.609375,149.41796875,0.80859375,0.9249601364135742,4259
5000,2,0.3502370999995037,0.07004741999990075,14276.043286125556,0.359375,25.652265279756858,149.41796875,149.453125,0.03515625,0.9249448776245117,4259
5000,3,0.4876223999999638,0.09752447999999277,10253.835754879947,0.40625,20.828103877099892,149.453125,149.453125,0.0,0.9249296188354492,4259
10000,1,0.934864099999686,0.0934864099999686,10696.741911475003,0.734375,19.63854960309864,149.48828125,149.16015625,-0.328125,1.8084745407104492,8480
10000,2,0.8576923000000534,0.08576923000000534,11659.192929678135,0.734375,21.40554951933095,149.16015625,149.3203125,0.16015625,1.8084592819213867,8480
10000,3,0.9110522999981185,0.09110522999981185,10976.31826407842,0.765625,21.0093591773376,149.3203125,149.3203125,0.0,1.8084287643432617,8480
